identity,Age,UR2006_num,p,Source,GenotypeModel,AttributionModel
4322,0-5,-2,0.7691316294295276,Ruminants,Island,Linear
4764,0-5,-2,0.7942012075918826,Ruminants,Island,Linear
4832,0-5,-2,0.8610229742661001,Ruminants,Island,Linear
5903,0-5,-2,0.5829315061267988,Ruminants,Island,Linear
6097,0-5,-2,0.6601717484715685,Ruminants,Island,Linear
6596,0-5,-2,0.7520667321465134,Ruminants,Island,Linear
6982,0-5,-2,0.8751017340852616,Ruminants,Island,Linear
7149,0-5,-2,0.8618161793223996,Ruminants,Island,Linear
7724,0-5,-2,0.8747192663284789,Ruminants,Island,Linear
8520,0-5,-2,0.8350325536564227,Ruminants,Island,Linear
9054,0-5,-2,0.8415829979481496,Ruminants,Island,Linear
9635,0-5,-2,0.7280606829338596,Ruminants,Island,Linear
9903,0-5,-2,0.6898564547649498,Ruminants,Island,Linear
9996,0-5,-2,0.7304271865353931,Ruminants,Island,Linear
358,"[5, Inf)",-3,0.6042757479416304,Ruminants,Island,Linear
1642,"[5, Inf)",-3,0.5399175031893522,Ruminants,Island,Linear
1685,"[5, Inf)",-3,0.650854437742129,Ruminants,Island,Linear
2495,"[5, Inf)",-3,0.6688590761037946,Ruminants,Island,Linear
2765,"[5, Inf)",-3,0.6635107863562086,Ruminants,Island,Linear
3958,"[5, Inf)",-3,0.641798513323881,Ruminants,Island,Linear
4322,"[5, Inf)",-3,0.6302861000850134,Ruminants,Island,Linear
4764,"[5, Inf)",-3,0.7640048093125549,Ruminants,Island,Linear
4832,"[5, Inf)",-3,0.6139138720952666,Ruminants,Island,Linear
5903,"[5, Inf)",-3,0.5346264687364092,Ruminants,Island,Linear
6097,"[5, Inf)",-3,0.6513231938597055,Ruminants,Island,Linear
6596,"[5, Inf)",-3,0.5587498214016912,Ruminants,Island,Linear
6982,"[5, Inf)",-3,0.6538835429898582,Ruminants,Island,Linear
7149,"[5, Inf)",-3,0.592813028520035,Ruminants,Island,Linear
7724,"[5, Inf)",-3,0.737987110547546,Ruminants,Island,Linear
8520,"[5, Inf)",-3,0.6149988132834247,Ruminants,Island,Linear
9054,"[5, Inf)",-3,0.6956277816283462,Ruminants,Island,Linear
9635,"[5, Inf)",-3,0.6458359049944447,Ruminants,Island,Linear
9903,"[5, Inf)",-3,0.6512254704046909,Ruminants,Island,Linear
9996,"[5, Inf)",-3,0.7061933453449616,Ruminants,Island,Linear
358,0-5,-3,0.8055580522019266,Ruminants,Island,Linear
1642,0-5,-3,0.7298061988685361,Ruminants,Island,Linear
1685,0-5,-3,0.8731892191377881,Ruminants,Island,Linear
2495,0-5,-3,0.6739018762581478,Ruminants,Island,Linear
2765,0-5,-3,0.8080319136930351,Ruminants,Island,Linear
