ST,Source,Model,m,lci,uci,ucl,lcl
4339,Ruminants,Island,0.009522102026144886,0.001431600222311862,0.0265455951842518,0.015699591136462084,0.005011971096888513
4339,Water,Dirichlet,0.20378080415284505,0.008517737681053909,0.6694644457938184,0.3980169657823783,0.0728390012144501
4339,Water,Island,0.15929169949264016,0.11385703949992781,0.20975621148024082,0.18060494970587054,0.13917202075206234
4340,Other,Dirichlet,0.7435163666107067,0.4266937741358274,0.9362969335476116,0.847569363492271,0.6152463684941092
4340,Other,Island,0.8035238178977124,0.7530944178413163,0.8505004146737396,0.82480193666024,0.7822327345133927
4340,Poultry,Dirichlet,0.045940170526421666,0.0016576888548523532,0.22931455545193696,0.105414763470276,0.014964656066227289
4340,Poultry,Island,0.025550282985308575,0.012782593803903248,0.04439163423888806,0.03304323154418108,0.019293941641537662
4340,Ruminants,Dirichlet,0.0628519552399592,0.002242097760456155,0.2968383343424161,0.1451808160131303,0.020347571679699014
4340,Ruminants,Island,0.009487353198681955,0.0014242074229526883,0.026463490078313116,0.015634908733218995,0.004990911036812944
4340,Water,Dirichlet,0.09289309924664504,0.003412583496540209,0.3819611580604954,0.19900624833870983,0.03140498473511049
4340,Water,Island,0.15899411701499183,0.11358781857822035,0.20952375955417504,0.1803288205198855,0.13888449070955006
4341,Other,Dirichlet,0.5378094217286181,0.16430066439451113,0.8670544315796006,0.7047866999724273,0.36092843369970873
4341,Other,Island,0.8033548787492526,0.752875723596547,0.8503318056222195,0.8246519354513207,0.7820173061744776
4341,Poultry,Dirichlet,0.08391268025418322,0.00331860517079522,0.39174573942136226,0.18508890080382856,0.027727035605030162
4341,Poultry,Island,0.025572537352425193,0.012794075595724246,0.04443511625453336,0.03306719113044651,0.019310626607393563
4341,Ruminants,Dirichlet,0.11627276199730302,0.005231471175653357,0.49495647284376804,0.24808986637900698,0.038987530273487114
4341,Ruminants,Island,0.009494144715692068,0.0014253857493675322,0.026481573948910948,0.01564411632676226,0.004994584420813444
4341,Water,Dirichlet,0.16275636095734333,0.00665974566109475,0.5946525968485391,0.3353709619740921,0.05505205543245505
4341,Water,Island,0.1591641469899956,0.1137163621263016,0.20967731772133774,0.18049207230449768,0.13902243059886055
4342,Other,Dirichlet,0.16995643023479282,0.00727389272347879,0.6153778108209697,0.3458498678245039,0.05702177544998219
4342,Other,Island,0.09923981859123203,0.06494259534154566,0.14061358915717304,0.1163924397779789,0.08387196511016422
4342,Poultry,Dirichlet,0.09744304264710896,0.00347476695834873,0.46250049608815874,0.22097513366837562,0.03245251677528599
4342,Poultry,Island,0.009128542001891386,0.0017898408208070402,0.023575349527228843,0.014715141028348271,0.005039091353053496
4342,Ruminants,Dirichlet,0.1415843476671732,0.005241829424947727,0.5601465380051679,0.2979506534096413,0.04699523635800864
4342,Ruminants,Island,0.011952235797871334,0.0020179185381194974,0.03110383127170499,0.019147215211989966,0.006659308864209313
4342,Water,Dirichlet,0.47561280111195986,0.09744445026750981,0.85366766895689306,0.6688720114464498,0.27819333676272323
4342,Water,Island,0.8771896152898568,0.833733427643826,0.9155256151575382,0.8940007865057356,0.8588011419861084
4343,Other,Dirichlet,0.4262029309700297,0.0786120447635357,0.8395180494573373,0.6184830816306728,0.2422148675040168
4343,Other,Island,0.8032422963956755,0.7527712408532681,0.8502798050086395,0.8245650887404007,0.7819043308342519
4343,Poultry,Dirichlet,0.10097857632055897,0.004058760904071768,0.47415735232334927,0.2301314871649327,0.03319967177920723
4343,Poultry,Island,0.02560525168604119,0.012812838597177008,0.04450184468198411,0.03310498359326118,0.019336133241280182
4343,Ruminants,Dirichlet,0.14167360612847385,0.006097334554987985,0.5697111929033438,0.30268273596748835,0.047433470795201105
4343,Ruminants,Island,0.009506935315289445,0.0014277657567938397,0.026515749391471916,0.015666036272504198,0.005001813503549809
4343,Water,Dirichlet,0.20573681539652416,0.008892416389286851,0.6730943012697171,0.3992265270945911,0.07196052891430836
4343,Water,Island,0.15922100841535713,0.1137325724851018,0.2097646785224128,0.1805703655277624,0.13905881098209472
4491,Other,Dirichlet,0.16777692588984983,0.006577911019365566,0.6190645716230289,0.3472345263513784,0.059008898503054574
4491,Other,Island,0.09859623764145882,0.06447768726180358,0.1396783763851487,0.11559944458453231,0.08332586759622757
4491,Poultry,Dirichlet,0.09698680568341805,0.003413422100154751,0.4689204459395982,0.21933889048877214,0.03126130698300248
4491,Poultry,Island,0.009001442930253671,0.0017609756380572474,0.023252673573077195,0.014515153481561589,0.004972446710890962
4491,Ruminants,Dirichlet,0.13789145965785415,0.004872699261170061,0.565129588502525,0.2971219778818106,0.04625086622057853
